,X,Y,Z,BGR,material,matNum,wsX,wsY,wsZ
29,1,9,1,0 255 0,mod,1,-80.52631578947367,-4.7368421052631575,-80.52631578947367
30,1,10,1,0 255 0,mod,1,-80.52631578947367,4.7368421052631575,-80.52631578947367
31,1,11,1,0 255 0,mod,1,-80.52631578947367,14.210526315789473,-80.52631578947367
32,1,12,1,0 255 0,mod,1,-80.52631578947367,23.684210526315788,-80.52631578947367
33,1,13,1,0 255 0,mod,1,-80.52631578947367,33.1578947368421,-80.52631578947367
34,1,14,1,0 255 0,mod,1,-80.52631578947367,42.63157894736842,-80.52631578947367
35,1,15,1,0 255 0,mod,1,-80.52631578947367,52.10526315789473,-80.52631578947367
36,1,16,1,0 255 0,mod,1,-80.52631578947367,61.57894736842105,-80.52631578947367
37,1,17,1,0 255 0,mod,1,-80.52631578947367,71.05263157894737,-80.52631578947367
38,1,18,1,0 255 0,mod,1,-80.52631578947367,80.52631578947367,-80.52631578947367
39,1,19,1,0 255 0,mod,1,-80.52631578947367,90.0,-80.52631578947367
40,2,0,1,0 255 0,mod,1,-71.05263157894737,-90.0,-80.52631578947367
41,2,1,1,0 255 0,mod,1,-71.05263157894737,-80.52631578947367,-80.52631578947367
42,2,2,1,0 255 0,mod,1,-71.05263157894737,-71.05263157894737,-80.52631578947367
43,2,3,1,0 255 0,mod,1,-71.05263157894737,-61.57894736842105,-80.52631578947367
44,2,4,1,0 255 0,mod,1,-71.05263157894737,-52.10526315789473,-80.52631578947367
45,2,5,1,0 255 0,mod,1,-71.05263157894737,-42.63157894736842,-80.52631578947367
46,2,6,1,0 255 0,mod,1,-71.05263157894737,-33.1578947368421,-80.52631578947367
47,2,7,1,0 255 0,mod,1,-71.05263157894737,-23.684210526315788,-80.52631578947367
48,2,8,1,0 255 0,mod,1,-71.05263157894737,-14.210526315789473,-80.52631578947367
49,2,9,1,0 255 0,mod,1,-71.05263157894737,-4.7368421052631575,-80.52631578947367
50,2,10,1,0 255 0,mod,1,-71.05263157894737,4.7368421052631575,-80.52631578947367
51,2,11,1,0 255 0,mod,1,-71.05263157894737,14.210526315789473,-80.52631578947367
52,2,12,1,0 255 0,mod,1,-71.05263157894737,23.684210526315788,-80.52631578947367
53,2,13,1,0 255 0,mod,1,-71.05263157894737,33.1578947368421,-80.52631578947367
54,2,14,1,0 255 0,mod,1,-71.05263157894737,42.63157894736842,-80.52631578947367
55,2,15,1,0 255 0,mod,1,-71.05263157894737,52.10526315789473,-80.52631578947367
56,2,16,1,0 255 0,mod,1,-71.05263157894737,61.57894736842105,-80.52631578947367
57,2,17,1,0 255 0,mod,1,-71.05263157894737,71.05263157894737,-80.52631578947367
58,2,18,1,0 255 0,mod,1,-71.05263157894737,80.52631578947367,-80.52631578947367
59,2,19,1,0 255 0,mod,1,-71.05263157894737,90.0,-80.52631578947367
60,3,0,1,0 255 0,mod,1,-61.57894736842105,-90.0,-80.52631578947367
61,3,1,1,0 255 0,mod,1,-61.57894736842105,-80.52631578947367,-80.52631578947367
62,3,2,1,0 255 0,mod,1,-61.57894736842105,-71.05263157894737,-80.52631578947367
63,3,3,1,0 255 0,mod,1,-61.57894736842105,-61.57894736842105,-80.52631578947367
64,3,4,1,0 255 0,mod,1,-61.57894736842105,-52.10526315789473,-80.52631578947367
65,3,5,1,0 255 0,mod,1,-61.57894736842105,-42.63157894736842,-80.52631578947367
